            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,
"3218.0  Regional Population Growth, Australia",,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 25 March 2020,,,,,,,,,,,,,,,,,,,,,,
"Table 2. Estimated Resident Population, Statistical Areas Level 2, Victoria",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ERP at 30 June,,,ERP change,,,Components of population change 2018-19,,,,,,
,,,,,,,,,,2018,2019,,2018-2019,,,Natural increase,Net internal migration,Net overseas migration,,Area,Population density 2019,
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,,no.,%,,no.,no.,no.,,km2,persons/km2,
,,,,,,,,,,,,,,,,,,,,,,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011001,Alfredton,13291,14069,,778,5.9,,127,582,69,,52.7,266.9,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011002,Ballarat,12175,12225,,50,0.4,,-33,-2,85,,12.4,987.6,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011003,Ballarat - North,24147,24457,,310,1.3,,83,134,93,,92.4,264.8,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011004,Ballarat - South,25390,25594,,204,0.8,,109,-58,153,,32.9,779.0,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011005,Buninyong,7584,7712,,128,1.7,,33,49,46,,51.6,149.5,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011006,Delacombe,7873,8494,,621,7.9,,63,538,20,,34.2,248.6,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011007,Smythes Creek,4021,4080,,59,1.5,,33,26,0,,104.7,39.0,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011008,Wendouree - Miners Rest,15012,15101,,89,0.6,,61,-55,83,,67.6,223.5,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20102,Creswick - Daylesford - Ballan,201021009,Bacchus Marsh Region,6152,6212,,60,1.0,,34,16,10,,1038.8,6.0,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20102,Creswick - Daylesford - Ballan,201021010,Creswick - Clunes,7997,8088,,91,1.1,,24,55,12,,856.8,9.4,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20102,Creswick - Daylesford - Ballan,201021011,Daylesford,9261,9326,,65,0.7,,-25,52,38,,920.8,10.1,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20102,Creswick - Daylesford - Ballan,201021012,Gordon (Vic.),5899,5999,,100,1.7,,24,70,6,,850.3,7.1,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20103,Maryborough - Pyrenees,201031013,Avoca,3352,3364,,12,0.4,,-1,9,4,,1714.2,2.0,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20103,Maryborough - Pyrenees,201031014,Beaufort,4450,4548,,98,2.2,,-4,96,6,,1863.0,2.4,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20103,Maryborough - Pyrenees,201031015,Golden Plains - North,4742,4862,,120,2.5,,35,79,6,,922.1,5.3,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20103,Maryborough - Pyrenees,201031016,Maryborough (Vic.),8073,8066,,-7,-0.1,,-53,34,12,,45.5,177.1,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20103,Maryborough - Pyrenees,201031017,Maryborough Region,5364,5355,,-9,-0.2,,-26,9,8,,1627.6,3.3,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20201,Bendigo,202011018,Bendigo,14737,14779,,42,0.3,,-29,-37,108,,16.0,925.2,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20201,Bendigo,202011019,California Gully - Eaglehawk,12675,12978,,303,2.4,,81,184,38,,33.0,392.8,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20201,Bendigo,202011020,East Bendigo - Kennington,13784,13828,,44,0.3,,-21,-8,73,,17.1,806.3,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20201,Bendigo,202011021,Flora Hill - Spring Gully,9601,9692,,91,0.9,,60,-42,73,,13.2,734.1,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20201,Bendigo,202011022,Kangaroo Flat - Golden Square,20330,20563,,233,1.1,,23,108,102,,40.9,502.6,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20201,Bendigo,202011023,Maiden Gully,5382,5457,,75,1.4,,57,6,12,,43.0,127.0,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20201,Bendigo,202011024,Strathfieldsaye,9484,9905,,421,4.4,,85,312,24,,56.4,175.6,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20201,Bendigo,202011025,White Hills - Ascot,13129,13789,,660,5.0,,183,422,55,,67.8,203.4,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20202,Heathcote - Castlemaine - Kyneton,202021026,Bendigo Region - South,7770,7891,,121,1.6,,46,63,12,,796.9,9.9,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20202,Heathcote - Castlemaine - Kyneton,202021027,Castlemaine,11047,11196,,149,1.3,,-21,121,49,,83.9,133.4,
