Victoria in Future 2019 (VIF2019) Population and Household Projections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: David Sykes (DELWP) 03 8683 0936 | david.sykes@delwp.vic.gov.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households by household type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for Statistical Areas from Level 2 to Level 4 (SA2, SA3, SA4), Greater Capital City Statistical Areas (GCCSA) and Victoria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,As at June 30th 2016,,,,,,,,As at June 30th 2021,,,,,,,,As at June 30th 2026,,,,,,,,As at June 30th 2031,,,,,,,,As at June 30th 2036,,,,,,
GCCSA,SA4,SA3,SA2,Area Type,Area Name,Couple family with children,Couple family without children,One-parent family,Other family,Group household,Lone person,All Household Types,,Couple family with children,Couple family without children,One-parent family,Other family,Group household,Lone person,All Household Types,,Couple family with children,Couple family without children,One-parent family,Other family,Group household,Lone person,All Household Types,,Couple family with children,Couple family without children,One-parent family,Other family,Group household,Lone person,All Household Types,,Couple family with children,Couple family without children,One-parent family,Other family,Group household,Lone person,All Household Types
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2RVIC,201,20101,201011001,SA2,Alfredton,"1,657","1,121",508,30,142,813,"4,272",,"2,193","1,531",649,42,191,"1,097","5,704",,"2,769","1,943",813,52,238,"1,417","7,232",,"3,364","2,343",989,63,290,"1,756","8,805",,"3,935","2,725","1,175",70,324,"2,102","10,332"
2RVIC,201,20101,201011002,SA2,Ballarat,"1,270","1,377",532,46,335,"1,782","5,341",,"1,233","1,439",524,45,314,"1,835","5,389",,"1,229","1,519",527,45,305,"1,956","5,580",,"1,225","1,588",533,44,304,"2,068","5,762",,"1,226","1,640",545,46,305,"2,183","5,944"
2RVIC,201,20101,201011003,SA2,Ballarat - North,"2,653","2,585","1,107",90,506,"3,117","10,058",,"2,762","2,861","1,153",94,516,"3,426","10,812",,"2,832","3,054","1,192",95,516,"3,686","11,375",,"2,895","3,212","1,240",99,535,"3,954","11,936",,"2,959","3,365","1,309",102,563,"4,230","12,527"
2RVIC,201,20101,201011004,SA2,Ballarat - South,"2,310","2,488","1,587",152,701,"3,874","11,111",,"2,455","2,722","1,683",159,723,"4,222","11,964",,"2,594","2,882","1,771",161,727,"4,522","12,657",,"2,720","3,023","1,870",169,757,"4,815","13,354",,"2,817","3,168","1,986",177,797,"5,124","14,068"
2RVIC,201,20101,201011005,SA2,Buninyong,988,797,227,14,103,477,"2,606",,"1,046",914,245,15,102,557,"2,879",,"1,113","1,011",254,16,110,631,"3,134",,"1,167","1,097",274,18,121,717,"3,394",,"1,239","1,173",295,18,121,805,"3,651"
2RVIC,201,20101,201011006,SA2,Delacombe,859,764,393,22,126,596,"2,759",,"1,147","1,057",511,30,174,819,"3,738",,"1,550","1,465",698,38,225,"1,177","5,152",,"1,968","1,836",897,44,279,"1,557","6,581",,"2,377","2,192","1,091",52,332,"1,948","7,992"
2RVIC,201,20101,201011007,SA2,Smythes Creek,640,428,92,3,13,194,"1,370",,631,493,90,3,13,213,"1,444",,648,547,93,3,14,240,"1,546",,679,580,93,3,15,272,"1,642",,721,602,96,3,16,294,"1,731"
2RVIC,201,20101,201011008,SA2,Wendouree - Miners Rest,"1,515","1,522",857,83,217,"2,153","6,347",,"1,580","1,622",887,84,217,"2,309","6,699",,"1,637","1,754",928,89,228,"2,492","7,128",,"1,695","1,903",979,96,249,"2,715","7,637",,"1,775","2,060","1,024",102,267,"2,943","8,169"
2RVIC,201,20102,201021009,SA2,Bacchus Marsh Region,778,725,206,6,46,579,"2,340",,810,820,220,7,51,657,"2,565",,847,885,239,7,55,745,"2,779",,885,936,252,7,60,833,"2,974",,928,983,263,8,62,921,"3,167"
2RVIC,201,20102,201021010,SA2,Creswick - Clunes,851,"1,068",346,18,56,"1,006","3,345",,861,"1,164",357,20,59,"1,102","3,563",,870,"1,242",370,22,61,"1,203","3,768",,884,"1,305",386,23,64,"1,301","3,963",,904,"1,351",403,24,66,"1,401","4,149"
2RVIC,201,20102,201021011,SA2,Daylesford,916,"1,354",371,12,140,"1,479","4,271",,898,"1,487",373,13,147,"1,616","4,534",,894,"1,594",384,14,152,"1,778","4,816",,904,"1,666",402,13,160,"1,941","5,086",,930,"1,706",417,12,157,"2,085","5,306"
2RVIC,201,20102,201021012,SA2,Gordon (Vic.),808,685,198,9,49,484,"2,234",,838,736,204,9,55,518,"2,360",,856,782,209,11,58,554,"2,470",,878,815,231,11,62,597,"2,594",,910,844,245,10,63,637,"2,711"
2RVIC,201,20103,201031013,SA2,Avoca,328,534,123,6,45,519,"1,554",,324,569,124,6,48,565,"1,637",,321,590,126,6,50,598,"1,690",,319,603,130,6,50,636,"1,744",,314,609,137,6,49,674,"1,788"
2RVIC,201,20103,201031014,SA2,Beaufort,456,548,131,0,42,573,"1,751",,464,567,133,0,46,588,"1,799",,475,595,138,0,48,630,"1,885",,482,617,145,0,48,676,"1,968",,484,638,150,0,50,717,"2,039"
2RVIC,201,20103,201031015,SA2,Golden Plains - North,580,589,175,11,19,458,"1,832",,628,648,192,13,21,512,"2,012",,673,673,206,12,22,557,"2,142",,717,697,225,14,24,592,"2,268",,759,720,240,12,24,638,"2,393"
2RVIC,201,20103,201031016,SA2,Maryborough (Vic.),670,"1,037",472,13,128,"1,411","3,731",,668,"1,092",469,13,133,"1,506","3,881",,681,"1,132",481,13,137,"1,579","4,023",,704,"1,148",495,15,140,"1,654","4,157",,728,"1,151",509,16,141,"1,711","4,256"
2RVIC,201,20103,201031017,SA2,Maryborough Region,539,766,237,19,81,763,"2,405",,543,810,238,19,85,801,"2,496",,553,835,244,20,86,833,"2,572",,567,850,256,22,89,865,"2,649",,590,859,273,22,92,895,"2,731"
2RVIC,202,20201,202011018,SA2,Bendigo,"1,251","1,510",978,107,381,"2,454","6,681",,"1,247","1,582",982,105,373,"2,581","6,871",,"1,271","1,665","1,025",104,368,"2,726","7,159",,"1,293","1,718","1,064",103,361,"2,883","7,423",,"1,304","1,759","1,108",102,357,"3,018","7,648"
2RVIC,202,20201,202011019,SA2,California Gully - Eaglehawk,"1,189","1,199",828,62,229,"1,687","5,194",,"1,350","1,334",928,70,260,"1,862","5,804",,"1,514","1,416","1,027",75,278,"1,998","6,309",,"1,645","1,470","1,127",80,297,"2,110","6,729",,"1,779","1,524","1,225",85,316,"2,238","7,166"
2RVIC,202,20201,202011020,SA2,East Bendigo - Kennington,"1,320","1,694",666,68,287,"1,977","6,011",,"1,274","1,768",645,66,281,"2,023","6,057",,"1,248","1,837",637,65,272,"2,099","6,158",,"1,235","1,884",641,66,278,"2,179","6,283",,"1,233","1,916",654,67,280,"2,255","6,405"
2RVIC,202,20201,202011021,SA2,Flora Hill - Spring Gully,949,939,499,52,330,"1,292","4,060",,978,989,516,57,324,"1,341","4,205",,"1,039","1,038",547,58,327,"1,415","4,424",,"1,098","1,084",576,60,344,"1,511","4,672",,"1,149","1,134",613,62,338,"1,603","4,899"
